variant,review,n_labels,pct_draws_unusable,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
qwen3-4b: embedding,Menon_2022,25,0.15,0.511532016745611,0.7198956958276168,0.37111455108359126,0.8574005527864462,0.8782941176470588
qwen3-4b: embedding,Menon_2022,50,0.0,0.6049025181184984,0.7949528851159238,0.45451351351351355,0.895384591333972,0.8779797297297296
qwen3-4b: embedding,Menon_2022,100,0.0,0.6794608787860221,0.8410601708309752,0.5158857142857143,0.9194134081583908,0.8776371428571427
qwen3-4b: embedding,Menon_2022,200,0.0,0.7307756541593644,0.873900560368013,0.5897419354838709,0.9373072537827596,0.8774629032258063
qwen3-4b: embedding,van_der_Waal_2022,25,0.575,0.6707186907020873,0.8472485768500948,0.6223423559655225,0.9051530632254321,0.9343989112354453
qwen3-4b: embedding,van_der_Waal_2022,50,0.275,0.7040647015202075,0.8546903967371154,0.5905172413793103,0.9113139838561525,0.9343202227011493
qwen3-4b: embedding,van_der_Waal_2022,100,0.225,0.7273390684990491,0.8697680068654537,0.5912109711919958,0.9152740967355493,0.9342349491116093
qwen3-4b: embedding,van_der_Waal_2022,200,0.05,0.7268432959019723,0.858870703090999,0.5744424620874218,0.9113379896363242,0.9340677966101695
qwen3-4b: embedding + lexical,Sep_2021,25,0.05,0.1576193437849601,0.2801315751611946,0.018142918271287934,0.5848115478984277,0.8092479674796751
qwen3-4b: embedding + lexical,Sep_2021,50,0.0,0.24427702959301967,0.3962759811560186,0.07115384615384611,0.6754219668567163,0.8098642533936651
qwen3-4b: embedding + lexical,Sep_2021,100,0.0,0.29867031311184233,0.45459150985612756,0.13347953216374261,0.7245623876729834,0.8079166666666667
qwen3-4b: embedding + lexical,Sep_2021,200,0.0,0.30730741480741475,0.4656694347319347,0.180281690140845,0.752147618644222,0.8054929577464789
qwen3-4b: embedding + lexical,Menon_2022,25,0.15,0.41126814295970243,0.5972292850611108,0.24244582043343652,0.7935464692382327,0.8782941176470588
qwen3-4b: embedding + lexical,Menon_2022,50,0.0,0.5382131565297892,0.721208333282515,0.35191891891891885,0.8610082230504743,0.8779797297297296
qwen3-4b: embedding + lexical,Menon_2022,100,0.0,0.6353069542460213,0.8058606431533104,0.4665714285714285,0.9027863240540379,0.8776371428571427
