use_case,n_pos,n_neg,policy,auc,auc_sd,auc_gain
synergy_muthu_2021,20,10,easy,0.7754129353233831,0.008280183965278104,0.047017412935323466
synergy_muthu_2021,20,20,hard,0.6248606965174129,0.016762530422867874,-0.10353482587064666
synergy_muthu_2021,20,20,mixed,0.7375,0.015628201263605965,0.009104477611940442
synergy_muthu_2021,20,20,random,0.7570796019900496,0.02746732038741882,0.028684079601990042
synergy_muthu_2021,20,20,easy,0.768318407960199,0.009668762239474276,0.03992288557213941
synergy_muthu_2021,20,50,hard,0.584952736318408,0.020554939358735307,-0.14344278606965155
synergy_muthu_2021,20,50,mixed,0.7417388059701493,0.028861813561732848,0.013343283582089693
synergy_muthu_2021,20,50,random,0.7681940298507463,0.019390880584576352,0.03979850746268665
synergy_muthu_2021,20,50,easy,0.781179104477612,0.010697134657650794,0.05278358208955236
synergy_nelson_2002,10,10,hard,0.581813063063063,0.04222620105377482,-0.13130630630630635
synergy_nelson_2002,10,10,mixed,0.6816441441441442,0.037224132741484436,-0.03147522522522517
synergy_nelson_2002,10,10,random,0.7929054054054053,0.03505337782196121,0.07978603603603596
synergy_nelson_2002,10,10,easy,0.801463963963964,0.015736983057239768,0.08834459459459465
synergy_nelson_2002,10,20,hard,0.677759009009009,0.034727619091985934,-0.03536036036036039
synergy_nelson_2002,10,20,mixed,0.7323198198198198,0.035790354092516186,0.01920045045045038
synergy_nelson_2002,10,20,random,0.8063626126126126,0.02957308839844575,0.09324324324324318
synergy_nelson_2002,10,20,easy,0.8170045045045043,0.015444769527922297,0.10388513513513498
synergy_nelson_2002,10,50,hard,0.7327702702702703,0.033769892038782355,0.019650900900900936
synergy_nelson_2002,10,50,mixed,0.7772522522522523,0.026177527875419607,0.06413288288288288
synergy_nelson_2002,10,50,random,0.8066441441441441,0.03888006511719818,0.09352477477477472
synergy_nelson_2002,10,50,easy,0.8179617117117118,0.021229493655297565,0.10484234234234246
synergy_nelson_2002,20,10,hard,0.5724099099099099,0.01875718486370058,-0.14070945945945945
synergy_nelson_2002,20,10,mixed,0.735135135135135,0.052406139889259976,0.022015765765765583
synergy_nelson_2002,20,10,random,0.7979166666666666,0.026573594083679142,0.08479729729729724
synergy_nelson_2002,20,10,easy,0.8045045045045045,0.011360207202602593,0.09138513513513513
synergy_nelson_2002,20,20,hard,0.6774774774774774,0.008886055684851587,-0.03564189189189193
synergy_nelson_2002,20,20,mixed,0.7657657657657657,0.011855118631067177,0.052646396396396344
synergy_nelson_2002,20,20,random,0.8070945945945945,0.011347362287074364,0.09397522522522517
synergy_nelson_2002,20,20,easy,0.8180743243243244,0.011418385829019164,0.104954954954955
synergy_nelson_2002,20,50,hard,0.7569256756756756,0.029124351892246735,0.04380630630630622
synergy_nelson_2002,20,50,mixed,0.7899774774774775,0.04358813698497513,0.07685810810810811
synergy_nelson_2002,20,50,random,0.8254504504504505,0.02254573691012089,0.11233108108108114
synergy_nelson_2002,20,50,easy,0.8222972972972974,0.005781755699546595,0.10917792792792802
synergy_sep_2021,10,10,hard,0.5383152173913044,0.02651580809484215,-0.07921195652173907
synergy_sep_2021,10,10,mixed,0.6635869565217393,0.06984065715114902,0.04605978260869581
synergy_sep_2021,10,10,random,0.7353260869565217,0.03756394201991601,0.11779891304347823
synergy_sep_2021,10,10,easy,0.6373641304347826,0.010813373777756315,0.019836956521739113
synergy_sep_2021,10,20,hard,0.5827445652173914,0.040432097999940006,-0.034782608695652084
synergy_sep_2021,10,20,mixed,0.6762228260869565,0.0759711366162918,0.05869565217391304
synergy_sep_2021,10,20,random,0.7292119565217391,0.03553346322140039,0.11168478260869563
synergy_sep_2021,10,20,easy,0.675,0.01138875521179123,0.057472826086956585
synergy_sep_2021,10,50,hard,0.6807065217391305,0.07020000584005166,0.06317934782608703
synergy_sep_2021,10,50,mixed,0.7521739130434782,0.05864058658947451,0.1346467391304348
synergy_sep_2021,10,50,random,0.7755434782608696,0.02928485595456757,0.1580163043478261
synergy_sep_2021,10,50,easy,0.7092391304347826,0.01923886176427487,0.09171195652173914
synergy_sep_2021,20,10,hard,0.5237771739130435,0.014256596075624631,-0.09375
synergy_sep_2021,20,10,mixed,0.6073369565217391,0.05180355700558601,-0.010190217391304324
synergy_sep_2021,20,10,random,0.7355978260869567,0.04791285668806802,0.11807065217391322
synergy_sep_2021,20,10,easy,0.6429347826086957,0.012065645801246357,0.025407608695652284
synergy_sep_2021,20,20,hard,0.5573369565217392,0.01635296194475878,-0.06019021739130426
synergy_sep_2021,20,20,mixed,0.6582880434782609,0.05240586179225602,0.040760869565217406
synergy_sep_2021,20,20,random,0.7819293478260869,0.027322960804890026,0.16440217391304346
