use_case,variant,reader_d_auc,reader_d_f2_own,reader_d_screened_own,reader_d_recall_own,matcher_fitted_d,matcher_unfitted_worst_d,matcher_d_bm25_obj,matcher_d_bm25_nice,matcher_d_overlap_must_frac
sep_2021,shuffled,-0.47690217391304346,-0.7407407407407408,-0.4074074074074074,-1.0,,,,,
sep_2021,vague_objective,0.009510869565217406,-0.02645502645502651,0.037037037037037035,0.0,,-0.05842391304347827,-0.05842391304347827,0.0,0.0
van_der_valk_2021,conflicting,-0.04494117647058826,0.02386502386502387,0.056338028169014065,0.05882352941176466,-0.0065863453815260264,-0.01015490533562824,0.0,0.0,-0.01015490533562824
van_der_valk_2021,conflicting_prose,-0.11058823529411765,0.027472527472527486,0.34507042253521125,0.23529411764705882,,,,,
van_der_valk_2021,fluff_replace,0.0018823529411764461,0.1440138808559861,0.028169014084507032,0.1764705882352941,-0.015582329317269106,-0.21594951233505444,-0.21594951233505444,0.0,0.0
van_der_valk_2021,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
van_der_valk_2021,keyword_flood,-0.026117647058823468,0.05494505494505497,0.0,0.05882352941176466,-0.033459552495696876,-0.02799770510613886,0.0,0.020539300057372256,-0.02799770510613886
van_der_valk_2021,only_name,-0.1319999999999999,0.027472527472527486,0.049295774647887314,0.05882352941176466,-0.08603557085484792,,-0.2823293172690763,-0.19328743545611016,
van_der_valk_2021,shuffled,-0.28847058823529415,-0.32967032967032966,-0.1619718309859155,-0.35294117647058826,,,,,
van_der_valk_2021,vague_objective,0.002588235294117669,0.1295133437990581,0.049295774647887314,0.1764705882352941,-0.010900745840504822,-0.31359724612736667,-0.31359724612736667,0.0,0.0
van_dis_2020,conflicting,-0.00202380952380965,-0.016536730930375332,-0.0005595344673231806,-0.0714285714285714,-0.018735632183907835,-0.021408045977011514,0.0,0.0,-0.021408045977011514
van_dis_2020,conflicting_prose,-0.04726190476190473,-0.07988821597006632,0.07937332139659806,0.0,,,,,
van_dis_2020,fluff_replace,-0.01261904761904753,-0.05096970412882951,0.04299388242315727,0.0,-0.0003333333333331856,-0.44557471264367826,-0.44557471264367826,0.0,0.0
van_dis_2020,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
van_dis_2020,keyword_flood,-0.00309523809523804,-0.011797567519473223,-0.0038667561921814364,-0.0714285714285714,-0.037137931034482596,-0.2565229885057472,0.0,-0.17637931034482757,-0.2565229885057472
van_dis_2020,only_name,-0.03749999999999998,-0.04147645566491662,0.005495374515070123,-0.1428571428571429,-0.3641839080459769,,-0.36074712643678164,-0.21212643678160914,
van_dis_2020,shuffled,-0.47285714285714286,-0.24247070722932193,-0.1302006863622799,-1.0,,,,,
van_dis_2020,vague_objective,-0.008452380952380878,-0.006855328190632587,-0.0071739779170396645,-0.0714285714285714,-0.002425287356321859,-0.47959770114942535,-0.47959770114942535,0.0,0.0
