,carbon_capture,cement_binders,ner,nykvist_evcharging,roadfreight_metareview,soil_microbiome,solar_leo,synergy_appenzeller-herzog_2019,synergy_bos_2018,synergy_brouwer_2019,synergy_chou_2003,synergy_chou_2004,synergy_donners_2021,synergy_hall_2012,synergy_jeyaraman_2020,synergy_leenaars_2019,synergy_leenaars_2020,synergy_meijboom_2021,synergy_menon_2022,synergy_moran_2021,synergy_muthu_2021,synergy_nelson_2002,synergy_oud_2018,synergy_radjenovic_2013,synergy_sep_2021,synergy_smid_2020,synergy_van_de_schoot_2018,synergy_van_der_valk_2021,synergy_van_der_waal_2022,synergy_van_dis_2020,synergy_walker_2018,synergy_wassenaar_2017,synergy_wolters_2018,tech_forecasting
synergy_chou_2003,0.5251907695136526,0.47231457800511506,0.5080868645135285,0.5489893939393939,0.5113826581854704,0.42986004368578595,0.5171522453450165,0.7831282051282051,0.4262666666666667,0.4555483870967742,0.7575555555555556,0.5247407407407407,0.4540466392318244,0.6786762820512819,0.7098586654309545,0.5423921568627451,0.44221993127147763,0.5457860227090996,0.419983801781804,0.5895975975975976,0.6111210317460318,0.4713723776223776,0.4521995708154506,0.6201527777777779,0.4991341991341991,0.516716049382716,0.5917543859649123,0.5402621722846441,0.38183838383838387,0.5270092592592592,0.43087105263157893,0.6251441441441441,0.5316140350877193,0.43910351806655157
synergy_chou_2004,0.5329134871747725,0.45620204603580555,0.47548747921600243,0.5763242424242424,0.5194174757281553,0.44794110508858503,0.49467688937568455,0.7577179487179487,0.40153333333333335,0.4110860215053763,0.6874222222222222,0.5266666666666667,0.5470507544581619,0.662926282051282,0.7655332869941305,0.5072549019607843,0.5238717067583046,0.5473532704301936,0.4600893901670816,0.591915915915916,0.6015436507936508,0.4742132867132868,0.5079399141630901,0.5935416666666666,0.4487012987012987,0.5245185185185185,0.4641052631578947,0.5121369514521943,0.34345454545454546,0.5608888888888889,0.4390184210526316,0.623867867867868,0.5253333333333333,0.46651586403952616
synergy_donners_2021,0.5931322975085042,0.39744245524296673,0.46939083992542946,0.5853575757575757,0.433712755272849,0.4277566539923955,0.5372617743702082,0.8121538461538461,0.7523333333333333,0.3973548387096774,0.7163999999999999,0.5062222222222222,0.6776406035665296,0.6825416666666666,0.6032495366079703,0.34949019607843135,0.5617187857961055,0.6775947545178315,0.5666826649068601,0.5784924924924925,0.5081964285714285,0.4943618881118881,0.4550429184549356,0.5711805555555556,0.4572510822510822,0.5311358024691357,0.6242982456140351,0.6175005299978801,0.4764040404040404,0.5144351851851852,0.4684706140350877,0.7133303303303303,0.6463859649122807,0.40520269063634745
synergy_hall_2012,0.476510067114094,0.4184782608695652,0.5107572932936968,0.5971,0.4889521258788082,0.4832537820564679,0.4823220153340635,0.5834615384615385,0.5956666666666667,0.46761290322580645,0.5740888888888889,0.5575555555555556,0.17091906721536354,0.9060929487179488,0.4855383070744517,0.4642745098039216,0.3301683848797251,0.34888853350391813,0.39201187869334375,0.6136696696696696,0.5122837301587302,0.4099213286713287,0.4400214592274678,0.74425,0.42932900432900434,0.6554320987654322,0.4616315789473684,0.5177725955762843,0.3592727272727273,0.4650277777777778,0.4513622807017544,0.6024354354354354,0.5454736842105263,0.4658015358057028
synergy_jeyaraman_2020,0.5307069964144526,0.40952685421994883,0.49352546984430895,0.5126984848484849,0.43906930030130564,0.40821939972494137,0.4717196056955093,0.8345641025641025,0.49946666666666667,0.5306451612903227,0.8073333333333332,0.7420740740740741,0.5412894375857339,0.7522147435897435,0.8356406394810009,0.5106274509803921,0.7058545246277205,0.7755957140572526,0.37656357800641926,0.5447687687687688,0.6532043650793651,0.5771416083916084,0.7049356223175965,0.6669444444444445,0.42608225108225106,0.5656790123456791,0.5805789473684211,0.5516394601088261,0.5847676767676767,0.5879444444444444,0.3809425438596491,0.5230300300300301,0.5216842105263159,0.39514256801000064
synergy_leenaars_2019,0.5173990990162728,0.46464194373401535,0.5126215548949464,0.5349742424242424,0.5207566119852695,0.3758595582881644,0.5515005476451259,0.8123846153846154,0.505,0.47054838709677416,0.7176,0.5628148148148149,0.5111111111111112,0.6456249999999999,0.7238666203274637,0.8087450980392157,0.6266030927835052,0.7880697265312652,0.5061793202747698,0.5004624624624624,0.4567043650793651,0.43763111888111894,0.5553648068669529,0.643375,0.4470779220779221,0.47138271604938276,0.6119473684210526,0.5949579535015193,0.6896969696969697,0.43996296296296294,0.45820087719298247,0.5374204204204204,0.5232631578947368,0.4455324721709626
synergy_leenaars_2020,0.5410269375746989,0.4877877237851662,0.47145664332140874,0.510760606060606,0.4340475393371276,0.3860529083407492,0.56078860898138,0.7095384615384615,0.4708666666666667,0.47413978494623654,0.6292888888888889,0.5599259259259259,0.3624142661179698,0.634150641025641,0.6311302903923386,0.5822745098039216,0.5550950744558991,0.6567727490804414,0.5231874493805682,0.5476996996996998,0.5537420634920635,0.3403409090909091,0.5339055793991416,0.577625,0.5676406926406926,0.5469135802469136,0.3429473684210526,0.5289908840364639,0.5855555555555556,0.47975,0.5312206140350877,0.6535285285285285,0.567578947368421,0.49360080957199837
synergy_meijboom_2021,0.5086420888112531,0.3625319693094629,0.48924270670630327,0.5716712121212121,0.5147304988282557,0.4140037213817652,0.5688937568455641,0.7832820512820513,0.6524,0.5446881720430108,0.6512,0.5273333333333333,0.4156378600823045,0.6125993589743589,0.6533634538152611,0.29462745098039217,0.4403940435280641,0.6778826163441548,0.3556708762036176,0.6086126126126126,0.5935595238095238,0.5049825174825175,0.49506437768240347,0.601625,0.40995670995670996,0.4941234567901234,0.4790175438596491,0.47074411702353197,0.3917979797979798,0.5429351851851851,0.4141508771929825,0.6741891891891891,0.6346666666666666,0.410351806655158
synergy_menon_2022,0.48329042934632704,0.49782608695652175,0.45482944525621005,0.5843469696969696,0.5107130900569132,0.38560796052099344,0.5240306681270537,0.7692564102564103,0.7598,0.49200000000000005,0.6232888888888889,0.46725925925925926,0.37037037037037035,0.5877019230769231,0.6124497991967872,0.5276078431372548,0.442286941580756,0.6157044618583081,0.4796472388037316,0.5957597597597597,0.5838333333333333,0.4764423076923077,0.4653969957081545,0.4801666666666667,0.5,0.5898765432098765,0.571140350877193,0.5635820790050172,0.4976565656565657,0.5511203703703703,0.5025688596491228,0.657996996996997,0.6775087719298245,0.4754449669623192
synergy_moran_2021,0.4703043118506941,0.39814578005115087,0.5305083891772057,0.54825,0.5251088048208905,0.38880349486287513,0.5459802847754655,0.6251538461538462,0.5252666666666667,0.5105268817204301,0.5184888888888889,0.5588888888888889,0.3234567901234568,0.6766955128205128,0.5615152919369787,0.6309019607843138,0.4374375715922108,0.5165200703662243,0.5610132885382608,0.6021741741741742,0.5020555555555556,0.3706293706293706,0.5695278969957082,0.642375,0.48268398268398266,0.6577037037037036,0.5221228070175438,0.47584976326761363,0.45686868686868687,0.4295833333333333,0.5708263157894736,0.716075075075075,0.5931578947368421,0.4871420917911781
