variant,use_case,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
qwen3-8b: cosine-to-brief (0 labels),tech_forecasting,0.12738853503184713,0.2484076433121019,0.03712121212121208,0.6390856598607061,0.38503787878787876
qwen3-8b: embedding,carbon_capture,0.06802721088435375,0.23129251700680273,0.06111111111111106,0.5895238095238095,0.4797979797979797
qwen3-8b: embedding,cement_binders,0.11764705882352941,0.22941176470588234,0.1141221374045801,0.7290920716112531,0.333587786259542
qwen3-8b: embedding,ner,0.10762331838565023,0.21524663677130046,0.0012820512820512359,0.5082380208595758,0.2709935897435897
qwen3-8b: embedding,soil_microbiome,0.0425531914893617,0.13829787234042554,-0.005182072829131697,0.42696788285737397,0.6998599439775911
qwen3-8b: embedding,solar_leo,0.10869565217391304,0.213768115942029,0.01666666666666662,0.5574534161490684,0.2216666666666666
qwen3-8b: embedding,tech_forecasting,0.1464968152866242,0.2802547770700637,0.052272727272727235,0.7117685576522412,0.38503787878787876
qwen3-8b: embedding PCA-64,carbon_capture,0.08163265306122448,0.19727891156462585,0.0005050505050504597,0.5007709750566893,0.4797979797979797
qwen3-8b: embedding PCA-64,cement_binders,0.07647058823529412,0.2,0.07213740458015262,0.5615728900255754,0.333587786259542
qwen3-8b: embedding PCA-64,ner,0.10762331838565023,0.2062780269058296,0.010897435897435852,0.5409885625031491,0.2709935897435897
qwen3-8b: embedding PCA-64,soil_microbiome,0.06382978723404255,0.11702127659574468,0.006022408963585392,0.4878650594612086,0.6998599439775911
qwen3-8b: embedding PCA-64,solar_leo,0.10507246376811594,0.21014492753623187,0.01388888888888884,0.6158126293995859,0.2216666666666666
qwen3-8b: embedding PCA-64,tech_forecasting,0.1337579617834395,0.24203821656050956,0.06363636363636359,0.6748020715518781,0.38503787878787876
qwen3-8b: PCA-64 + lexical,carbon_capture,0.10204081632653061,0.22448979591836735,0.010606060606060563,0.5648526077097507,0.4797979797979797
qwen3-8b: PCA-64 + lexical,cement_binders,0.08823529411764706,0.17058823529411765,0.011068702290076289,0.5322250639386188,0.333587786259542
qwen3-8b: PCA-64 + lexical,ner,0.10762331838565023,0.21076233183856502,0.010897435897435852,0.5648712651786164,0.2709935897435897
qwen3-8b: PCA-64 + lexical,soil_microbiome,0.0851063829787234,0.20212765957446807,0.006022408963585392,0.5092630046112774,0.6998599439775911
qwen3-8b: PCA-64 + lexical,solar_leo,0.10507246376811594,0.2028985507246377,0.00833333333333329,0.5662525879917184,0.2216666666666666
qwen3-8b: PCA-64 + lexical,tech_forecasting,0.1337579617834395,0.2484076433121019,0.048484848484848436,0.661170307756414,0.38503787878787876
