variant,seed,arm,use_case,auc,wss95,f2_star,floor_f2
induced_all,1,blend,van_dis_2020,0.9485370370370371,0.7352943984485719,0.4446952164183387,0.03902016041621504
induced_all,2,catboost,brouwer_2019,0.9926451612903225,0.9244622871046229,0.5066793202454579,0.008233950436930596
induced_all,2,logreg,brouwer_2019,0.9966236559139785,0.9344457100077538,0.5955840609878078,0.008233950436930596
induced_all,2,blend,brouwer_2019,0.9961397849462365,0.9357768330615046,0.6051029363726883,0.008233950436930596
induced_all,2,catboost,leenaars_2020,0.9426325231481482,0.6635687676948315,0.6928903552611018,0.31946755407653904
induced_all,2,logreg,leenaars_2020,0.9317025462962963,0.6282208314707216,0.6719435111895679,0.31946755407653904
induced_all,2,blend,leenaars_2020,0.947519675925926,0.6757577112203863,0.7080582852518804,0.31946755407653904
induced_all,2,catboost,moran_2021,0.847021021021021,0.12057043073339704,0.4311994669665767,0.09914255091103961
induced_all,2,logreg,moran_2021,0.6245825825825826,0.07295188203336436,0.14479067290660835,0.09914255091103961
induced_all,2,blend,moran_2021,0.8300660660660661,0.21711214590608063,0.3449733839766054,0.09914255091103961
induced_all,2,catboost,muthu_2021,0.8306546906187625,0.32958565934748996,0.5949791329815504,0.41511309967685805
induced_all,2,logreg,muthu_2021,0.8080179640718561,0.2793789852375742,0.5612264896311584,0.41511309967685805
induced_all,2,blend,muthu_2021,0.8427255489021956,0.36694876566184037,0.5961357850899118,0.41511309967685805
induced_all,2,catboost,nelson_2002,0.8673111510791367,0.4248603351955307,0.7430997876857751,0.5899705014749262
induced_all,2,logreg,nelson_2002,0.8669064748201439,0.385754189944134,0.7426778242677824,0.5899705014749262
induced_all,2,blend,nelson_2002,0.8870053956834532,0.4220670391061452,0.7604166666666666,0.5899705014749262
induced_all,2,catboost,sep_2021,0.7271739130434783,0.06481481481481477,0.5617977528089888,0.46511627906976744
induced_all,2,logreg,sep_2021,0.8071195652173913,0.2092592592592592,0.5984555984555985,0.46511627906976744
induced_all,2,blend,sep_2021,0.7646739130434782,0.06481481481481477,0.5793991416309013,0.46511627906976744
induced_all,2,catboost,van_der_valk_2021,0.8688216084574085,0.44154929577464785,0.6333333333333334,0.41115311909262764
induced_all,2,logreg,van_der_valk_2021,0.8100680799247247,0.3584507042253521,0.5604203152364273,0.41115311909262764
induced_all,2,blend,van_der_valk_2021,0.8571982066751536,0.4246478873239436,0.617059891107078,0.41115311909262764
induced_all,2,catboost,van_dis_2020,0.9496666666666668,0.7419073618259121,0.3786476389216116,0.03902016041621504
induced_all,2,logreg,van_dis_2020,0.9347222222222222,0.59509957484896,0.36772316710430264,0.03902016041621504
induced_all,2,blend,van_dis_2020,0.9541666666666667,0.7551332885805925,0.434173746685118,0.03902016041621504
induced_lex,0,catboost,brouwer_2019,0.9923602150537635,0.9317834639002522,0.4615082859966848,0.008233950436930596
induced_lex,0,logreg,brouwer_2019,0.9949677419354839,0.9311179023733768,0.5525929053044937,0.008233950436930596
induced_lex,0,blend,brouwer_2019,0.9945376344086022,0.9377735176421308,0.558839045413496,0.008233950436930596
induced_lex,0,catboost,leenaars_2020,0.9376689814814814,0.6349247504097772,0.692823701061389,0.31946755407653904
induced_lex,0,logreg,leenaars_2020,0.9258576388888888,0.6154224407688885,0.6724045185583647,0.31946755407653904
induced_lex,0,blend,leenaars_2020,0.9411608796296297,0.6434570108776658,0.6916445958939927,0.31946755407653904
induced_lex,0,catboost,moran_2021,0.8566606606606605,0.3090876988746509,0.4167835424748738,0.09914255091103961
induced_lex,0,logreg,moran_2021,0.6325165165165165,0.08485651920837581,0.13133953512211372,0.09914255091103961
induced_lex,0,blend,moran_2021,0.8369129129129129,0.31887233216917976,0.34599580516635087,0.09914255091103961
induced_lex,0,catboost,muthu_2021,0.8320798403193613,0.3126555017987998,0.5839066855058845,0.41511309967685805
induced_lex,0,logreg,muthu_2021,0.8066277445109781,0.2350102964892793,0.5553593351202779,0.41511309967685805
induced_lex,0,blend,muthu_2021,0.8411397205588822,0.31032030765415297,0.592648104673126,0.41511309967685805
induced_lex,0,catboost,nelson_2002,0.8674910071942445,0.3801675977653631,0.7370517928286852,0.5899705014749262
induced_lex,0,logreg,nelson_2002,0.8670188848920863,0.45279329608938546,0.7314410480349346,0.5899705014749262
induced_lex,0,blend,nelson_2002,0.8747751798561152,0.41648044692737424,0.7433808553971487,0.5899705014749262
induced_lex,0,catboost,sep_2021,0.7536956521739131,0.07962962962962958,0.5555555555555555,0.46511627906976744
induced_lex,0,logreg,sep_2021,0.8025,0.33518518518518514,0.5791505791505791,0.46511627906976744
induced_lex,0,blend,sep_2021,0.7589130434782608,0.087037037037037,0.5701754385964913,0.46511627906976744
induced_lex,0,catboost,van_der_valk_2021,0.8629545580339846,0.4964788732394366,0.6649395509499136,0.41115311909262764
induced_lex,0,logreg,van_der_valk_2021,0.8472445157838417,0.4161971830985915,0.625,0.41115311909262764
induced_lex,0,blend,van_der_valk_2021,0.8685079611077287,0.5626760563380281,0.6650246305418719,0.41115311909262764
induced_lex,0,catboost,van_dis_2020,0.9474351851851852,0.7432299545013802,0.347320918140851,0.03902016041621504
induced_lex,0,logreg,van_dis_2020,0.925699074074074,0.6030351309017682,0.3228530273680028,0.03902016041621504
induced_lex,0,blend,van_dis_2020,0.9503240740740742,0.7544719922428584,0.3735260089033276,0.03902016041621504
induced_lex,1,catboost,brouwer_2019,0.994247311827957,0.933114586954003,0.49277607563507597,0.008233950436930596
induced_lex,1,logreg,brouwer_2019,0.9969139784946237,0.9337801484808784,0.5955840609878078,0.008233950436930596
induced_lex,1,blend,brouwer_2019,0.9963548387096773,0.9324490254271276,0.6391968278792088,0.008233950436930596
