variant,use_case,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling,wss_sd
qwen3-8b: cosine-to-brief (0 labels),cement_binders,0.12941176470588237,0.2529411764705882,0.21717557251908393,0.8428388746803069,0.333587786259542,
qwen3-8b: cosine-to-brief (0 labels),ner,0.12556053811659193,0.24663677130044842,0.06538461538461535,0.7224769486572278,0.2709935897435897,
qwen3-8b: cosine-to-brief (0 labels),soil_microbiome,0.1595744680851064,0.24468085106382978,0.011624649859943936,0.5274249656176685,0.6998599439775911,
qwen3-8b: cosine-to-brief (0 labels),solar_leo,0.12681159420289856,0.21739130434782608,0.011111111111111065,0.5169082125603863,0.2216666666666666,
qwen3-8b: cosine-to-brief (0 labels),tech_forecasting,0.12738853503184713,0.2484076433121019,0.03712121212121208,0.6390856598607061,0.38503787878787876,
qwen3-8b: embedding,carbon_capture,0.19319727891156463,0.3700680272108844,0.2759259259259259,0.8965714285714286,0.4797979797979798,0.00871527212494598
qwen3-8b: embedding,cement_binders,0.14470588235294118,0.29294117647058826,0.20190839694656484,0.8950511508951406,0.333587786259542,0.008951175114166854
qwen3-8b: embedding,ner,0.13632286995515694,0.2663677130044843,0.1025641025641025,0.8447573940645942,0.2709935897435897,0.013711057459107338
qwen3-8b: embedding,soil_microbiome,0.24680851063829787,0.41914893617021276,0.12422969187675066,0.7550036404821616,0.6998599439775911,0.03171580919824798
qwen3-8b: embedding,solar_leo,0.12608695652173912,0.24855072463768116,0.05166666666666662,0.7960705659075225,0.2216666666666666,0.011385500851066219
qwen3-8b: embedding,tech_forecasting,0.16305732484076432,0.3159235668789809,0.15227272727272725,0.8248110006548008,0.38503787878787876,0.013551927136362362
qwen3-8b: embedding PCA-64,carbon_capture,0.19047619047619047,0.364625850340136,0.22609427609427604,0.8752743764172335,0.4797979797979798,0.026936026936026942
qwen3-8b: embedding PCA-64,cement_binders,0.14352941176470585,0.2858823529411765,0.19809160305343507,0.8729219948849106,0.333587786259542,0.011127770791689497
qwen3-8b: embedding PCA-64,ner,0.12466367713004482,0.2538116591928251,0.09294871794871791,0.8136091096891217,0.2709935897435897,0.019964630131278766
qwen3-8b: embedding PCA-64,soil_microbiome,0.23829787234042552,0.44680851063829785,0.13599439775910357,0.7783593560391553,0.6998599439775911,0.03894464154944446
qwen3-8b: embedding PCA-64,solar_leo,0.12318840579710147,0.24637681159420288,0.052777777777777736,0.7844116632160112,0.2216666666666666,0.014958791130929178
qwen3-8b: embedding PCA-64,tech_forecasting,0.15414012738853503,0.30318471337579617,0.15227272727272725,0.8175903327579022,0.38503787878787876,0.012733133571190616
qwen3-8b: PCA-64 + lexical,carbon_capture,0.19319727891156463,0.3687074829931972,0.2503367003367003,0.8840181405895692,0.4797979797979798,0.028708516831369976
qwen3-8b: PCA-64 + lexical,cement_binders,0.14235294117647057,0.28117647058823525,0.20114503816793888,0.8804731457800511,0.333587786259542,0.012485058957096281
qwen3-8b: PCA-64 + lexical,ner,0.1336322869955157,0.2618834080717489,0.1224358974358974,0.8481886431198671,0.2709935897435897,0.016868842778129185
qwen3-8b: PCA-64 + lexical,soil_microbiome,0.23191489361702128,0.4319148936170213,0.16456582633053218,0.773885607960521,0.6998599439775911,0.0388437746575884
qwen3-8b: PCA-64 + lexical,solar_leo,0.12391304347826089,0.24782608695652172,0.04833333333333329,0.8034937888198759,0.2216666666666666,0.016029486718059455
qwen3-8b: PCA-64 + lexical,tech_forecasting,0.15668789808917197,0.310828025477707,0.16590909090909084,0.8231561402464432,0.38503787878787876,0.021923933528011794
