model,variant,arm,use_case,n,auc,wss95,tie_frac,recall@10%,t_star,f2_star,f2_own,recall_own,precision_own,screened_own,coverage,floor_f2
nemotron-3-super-120b-a12b,P2,B1 supplied,nelson_2002,358,0.7968525179856114,0.2616346854505707,0.9916201117318436,0.29500000000000004,0.01,0.6802721088435374,0.5357142857142858,0.525,0.5833333333333334,0.2011173184357542,1.0,0.5899705014749262
nemotron-3-super-120b-a12b,P2,B1 supplied,sep_2021,270,0.840163043478261,0.15185185185185182,0.9925925925925926,0.4826086956521739,0.61,0.6712962962962962,0.6590909090909091,0.725,0.48333333333333334,0.2222222222222222,1.0,0.46511627906976744
nemotron-3-super-120b-a12b,P2,B1 supplied,van_der_valk_2021,710,0.8410730429327872,0.26227364185110663,0.9971830985915493,0.4428312159709619,0.060000000000000005,0.5988023952095808,0.4789719626168224,0.47126436781609193,0.5125,0.11267605633802817,1.0,0.41115311909262764
nemotron-3-super-120b-a12b,P2,B1 supplied,van_dis_2020,1571,0.9329577464788732,0.7248003431427399,0.9993634627625716,0.8248937959173426,0.61,0.2836115089550334,0.2683114880493446,0.8169014084507042,0.07278811964024262,0.08916116519339076,0.9993638676844784,0.03849907819108557
gpt-oss-20b,P1,B1 supplied,brouwer_2019,1562,0.9166612903225807,0.2700489158043904,0.998719590268886,0.8545139479884549,0.7000000000000001,0.5123794903532003,0.4810559307695508,0.5967741935483871,0.2709220135119303,0.0036515244690427176,1.0,0.008233950436930596
gpt-oss-20b,P1,B1 supplied,leenaars_2020,2075,0.7508434782608696,0.05758460330432846,0.9995180722891567,0.3908972734497503,0.060000000000000005,0.48555366481651413,0.147939474002242,0.12347826086956522,0.7126367559971897,0.01484798807749627,0.9995183044315993,0.31908990011098776
gpt-oss-20b,P1,B1 supplied,moran_2021,1610,0.44686848289249886,-0.010702005539946019,0.9993788819875776,0.06455923787609066,0.01,0.06770491816732224,0.035317019695595545,0.04504504504504504,0.018948437511842768,0.051231323187535226,0.9993792675356921,0.09920212889556033
gpt-oss-20b,P1,B1 supplied,muthu_2021,1834,0.7056437125748503,0.0653364436749494,0.9994547437295529,0.23392071195340433,0.060000000000000005,0.4972419898316236,0.31103882664417276,0.31736526946107785,0.2880690496076644,0.13694355539015013,1.0,0.41511309967685805
gpt-oss-20b,P1,B1 supplied,nelson_2002,358,0.7692446043165468,0.07988826815642452,0.994413407821229,0.3280882352941177,0.01,0.6504065040650407,0.49738219895287955,0.475,0.6129032258064516,0.17318435754189945,1.0,0.5899705014749262
gpt-oss-20b,P1,B1 supplied,sep_2021,270,0.9099456521739131,0.3450617283950618,0.9962962962962963,0.5083333333333333,0.31,0.7894736842105263,0.7894736842105263,0.825,0.673469387755102,0.1814814814814815,1.0,0.46511627906976744
