variant,use_case,unfitted_bm25_nice,unfitted_bm25_obj,unfitted_overlap_must_frac,fitted_auc
no_prob,synergy_wassenaar_2017,0.6941865079365079,0.8953968253968254,0.8572420634920634,0.9233730158730159
no_must,nykvist_evcharging,0.6711695075757574,0.6459848484848485,,0.7498238636363637
no_must,synergy_hall_2012,0.8804471544715448,0.888170731707317,,0.9546585365853659
no_must,synergy_jeyaraman_2020,0.5498547613033594,0.8129578176307148,,0.7499747410962365
no_must,synergy_menon_2022,0.5350093109869647,0.514245810055866,,0.5431657355679702
no_must,synergy_radjenovic_2013,0.9687962962962963,0.913148148148148,,0.9631111111111113
no_must,synergy_walker_2018,0.7033054522924412,0.6722118959107807,,0.759820322180917
no_must,synergy_wassenaar_2017,0.6941865079365079,0.8953968253968254,,0.923031746031746
no_nice,nykvist_evcharging,0.5,0.6459848484848485,0.6136221590909091,0.7283996212121211
no_nice,synergy_hall_2012,0.5,0.888170731707317,0.8440650406504066,0.9699918699186991
no_nice,synergy_jeyaraman_2020,0.5,0.8129578176307148,0.6611518060116192,0.7585122505683253
no_nice,synergy_menon_2022,0.5,0.514245810055866,0.4925512104283054,0.5593482309124767
no_nice,synergy_radjenovic_2013,0.5,0.913148148148148,0.8506944444444444,0.9499814814814815
no_nice,synergy_walker_2018,0.5,0.6722118959107807,0.785638166047088,0.7840855018587362
no_nice,synergy_wassenaar_2017,0.5,0.8953968253968254,0.8572420634920634,0.9324603174603174
no_exclude,nykvist_evcharging,0.6711695075757574,0.6459848484848485,0.6136221590909091,0.7471534090909092
no_exclude,synergy_hall_2012,0.8804471544715448,0.888170731707317,0.8440650406504066,0.9632601626016261
no_exclude,synergy_jeyaraman_2020,0.5498547613033594,0.8129578176307148,0.6611518060116192,0.7189441778226826
no_exclude,synergy_menon_2022,0.5350093109869647,0.514245810055866,0.4925512104283054,0.5510614525139665
no_exclude,synergy_radjenovic_2013,0.9687962962962963,0.913148148148148,0.8506944444444444,0.9623518518518518
no_exclude,synergy_walker_2018,0.7033054522924412,0.6722118959107807,0.785638166047088,0.809449814126394
no_exclude,synergy_wassenaar_2017,0.6941865079365079,0.8953968253968254,0.8572420634920634,0.9297619047619048
no_domain,nykvist_evcharging,0.6711695075757574,0.6459848484848485,0.6136221590909091,0.7347727272727271
no_domain,synergy_hall_2012,0.8804471544715448,0.888170731707317,0.8440650406504066,0.9652764227642276
no_domain,synergy_jeyaraman_2020,0.5498547613033594,0.8129578176307148,0.6611518060116192,0.7461353877241728
no_domain,synergy_menon_2022,0.5350093109869647,0.514245810055866,0.4925512104283054,0.5690130353817505
no_domain,synergy_radjenovic_2013,0.9687962962962963,0.913148148148148,0.8506944444444444,0.9599074074074074
no_domain,synergy_walker_2018,0.7033054522924412,0.6722118959107807,0.785638166047088,0.812907063197026
no_domain,synergy_wassenaar_2017,0.6941865079365079,0.8953968253968254,0.8572420634920634,0.921515873015873
only_name,nykvist_evcharging,0.5,0.5,,0.7181988636363636
only_name,synergy_hall_2012,0.5,0.5,,0.9167073170731708
only_name,synergy_jeyaraman_2020,0.5,0.5,,0.7328618337964132
only_name,synergy_menon_2022,0.5,0.5,,0.5558472998137802
only_name,synergy_radjenovic_2013,0.5,0.5,,0.8653425925925926
only_name,synergy_walker_2018,0.5,0.5,,0.7073872366790581
only_name,synergy_wassenaar_2017,0.5,0.5,,0.9046507936507936
fluff_replace,nykvist_evcharging,0.6711695075757574,0.5819602272727272,0.6136221590909091,0.731126893939394
fluff_replace,synergy_hall_2012,0.8804471544715448,0.6784552845528455,0.8440650406504066,0.9639430894308942
fluff_replace,synergy_jeyaraman_2020,0.5498547613033594,0.4198661278100531,0.6611518060116192,0.7037130588532458
fluff_replace,synergy_menon_2022,0.5350093109869647,0.5537243947858473,0.4925512104283054,0.5541154562383612
fluff_replace,synergy_radjenovic_2013,0.9687962962962963,0.6622222222222223,0.8506944444444444,0.9724629629629631
fluff_replace,synergy_walker_2018,0.7033054522924412,0.5492131350681537,0.785638166047088,0.8084064436183395
fluff_replace,synergy_wassenaar_2017,0.6941865079365079,0.7146428571428571,0.8572420634920634,0.9168968253968254
fluff_added,nykvist_evcharging,0.6711695075757574,0.6392897727272727,0.6136221590909091,0.7429640151515151
fluff_added,synergy_hall_2012,0.8804471544715448,0.8958943089430894,0.8440650406504066,0.9715447154471544
