variant,use_case,n_labels,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
qwen3-4b: embedding,solar_leo,50,0.12415113134598967,0.2440750467620245,0.03473118279569888,0.738902020523764,0.21921505376344083
qwen3-4b: embedding,solar_leo,100,0.12322665357093181,0.24405960908380228,0.04358974358974355,0.7675686733692938,0.21630769230769226
qwen3-4b: embedding,solar_leo,200,0.1286731430546517,0.2530091174832632,0.05791666666666662,0.7978755941003703,0.22364583333333332
qwen3-4b: embedding,tech_forecasting,25,0.14200288233432504,0.276389223601182,0.07887029288702925,0.7101629467220711,0.3842398884239888
qwen3-4b: embedding,tech_forecasting,50,0.15152297459795191,0.2983390990286236,0.09890965732087223,0.7708217404804135,0.38118380062305296
qwen3-4b: embedding,tech_forecasting,100,0.15704512383462435,0.3084059637622374,0.12479674796747962,0.7958890893665561,0.38849593495934953
qwen3-4b: embedding,tech_forecasting,200,0.1589052948323966,0.33318083435622153,0.1083333333333333,0.8208370758366921,0.3859375
qwen3-4b: embedding PCA-64,carbon_capture,25,0.1708292826542297,0.3321725130336378,0.1727941176470588,0.8133947961585055,0.47965686274509794
qwen3-4b: embedding PCA-64,carbon_capture,50,0.17996823033221182,0.34586307191458815,0.22287449392712547,0.8414339897821574,0.47692307692307695
qwen3-4b: embedding PCA-64,carbon_capture,100,0.19238029317136823,0.36156283528939587,0.2126057529610829,0.864507486282387,0.4783756345177663
qwen3-4b: embedding PCA-64,carbon_capture,200,0.19542912950309105,0.3743876060709901,0.20567010309278347,0.8590656823239694,0.48773195876288666
qwen3-4b: embedding PCA-64,cement_binders,25,0.14463646540743494,0.2814707740114336,0.17390998593530232,0.8484069796378129,0.33270042194092825
qwen3-4b: embedding PCA-64,cement_binders,50,0.14355432162549112,0.28508457285392513,0.18396226415094338,0.8668022849629383,0.3316037735849057
qwen3-4b: embedding PCA-64,cement_binders,100,0.13553419383293164,0.27359776939386415,0.19197530864197523,0.8505344489744133,0.3323045267489712
qwen3-4b: embedding PCA-64,cement_binders,200,0.1347411959254811,0.27140915999082404,0.2016129032258064,0.8676696625591481,0.3268817204301075
qwen3-4b: embedding PCA-64,ner,25,0.12966944289918456,0.2541526474593161,0.044541231126596935,0.735443839104841,0.27098722415795584
qwen3-4b: embedding PCA-64,ner,50,0.13139364678078022,0.2570722841744566,0.059669211195928704,0.7648436421239528,0.2712213740458015
qwen3-4b: embedding PCA-64,ner,100,0.13471443695184646,0.2645655747061542,0.08270440251572324,0.8042063213596891,0.2736477987421384
qwen3-4b: embedding PCA-64,ner,200,0.13224566253160971,0.2627254573066893,0.09107142857142851,0.8111718605191086,0.26916666666666667
