representation,use_case,n_labels,roc_auc,pr_auc,recall_at_10pct,f2_at_0.5
Tier 1b + embedding,soil_microbiome,25,0.661757526730657,0.4315346870819425,0.19306959657399125,0.35394982610041337
Tier 1b + embedding,soil_microbiome,50,0.6934054785274962,0.4601096555787704,0.20311900868844623,0.42363642957647213
Tier 1b + embedding,soil_microbiome,100,0.7116341170909486,0.48935792133776923,0.2210680475969392,0.4660027192473772
Tier 1b + embedding,soil_microbiome,200,0.6949728835759724,0.47085974675233816,0.2165401759746263,0.46690350045684764
Tier 1b + embedding,solar_leo,0,0.42348171152518976,0.7245106574644551,0.08695652173913043,0.717948717948718
Tier 1b + embedding,solar_leo,25,0.5622186750411532,0.7981086890518752,0.10580508934957562,0.8417645039432498
Tier 1b + embedding,solar_leo,50,0.6146378407550884,0.8260054211458541,0.11077776726667107,0.8319180288535023
Tier 1b + embedding,solar_leo,100,0.6531723324779609,0.8513360957363391,0.11648672722319693,0.814496452136746
Tier 1b + embedding,solar_leo,200,0.6633111521393152,0.8527647602488835,0.11552659002957083,0.8192921438517723
Tier 1b + embedding,tech_forecasting,0,0.5647359961902494,0.6406726237728737,0.09554140127388536,0.2708638360175695
Tier 1b + embedding,tech_forecasting,25,0.6273259758550407,0.6926136195777969,0.1210869872703247,0.7201921493219267
Tier 1b + embedding,tech_forecasting,50,0.6584396909847104,0.7175306476019923,0.12364687309546017,0.7204049360247747
Tier 1b + embedding,tech_forecasting,100,0.6880874351151545,0.7399249891517856,0.1333206298575473,0.7325780413513405
Tier 1b + embedding,tech_forecasting,200,0.7087567989449817,0.755836858686935,0.12676652560206464,0.7396117446928017
